date,amount,currency,category,note
2025-12-21,35.27,CAD,Grocery,FARM BOY #17 OTTAWA ON [RBC3306/20260119]
2025-12-22,10.99,CAD,Subscription,AMAZON PRIME MEMBER AMAZON.CA [RBC3306/20260119]
2025-12-23,32.84,CAD,Dining,UBER CANADA/UBEREATS TORONTO ON [RBC3306/20260119]
2025-12-25,9.11,CAD,Shopping,DOLLARAMA #1052 OTTAWA ON [RBC3306/20260119]
2025-12-26,135.00,CAD,Transport,OC TRANSPO MONTHLY PASS OTTAWA ON [RBC3306/20260119]
2025-12-27,47.69,CAD,Shopping,AMAZON.CA AMAZON.CA [RBC3306/20260119]
2025-12-28,15.07,CAD,Shopping,SHOPPERS DRUG MART 0781 OTTAWA ON [RBC3306/20260119]
2025-12-28,6.81,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260119]
2025-12-29,17.45,CAD,Dining,THAI EXPRESS OTTAWA ON [RBC3306/20260119]
2026-01-01,14.98,CAD,Shopping,DOLLARAMA #1052 OTTAWA ON [RBC3306/20260119]
2026-01-01,32.99,CAD,Subscription,GOODLIFE FITNESS TORONTO ON [RBC3306/20260119]
2026-01-02,5.86,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260119]
2026-01-04,11.29,CAD,Subscription,SPOTIFY SPOTIFY.COM [RBC3306/20260119]
2026-01-04,60.52,CAD,Shopping,WINNERS 3215 OTTAWA ON [RBC3306/20260119]
2026-01-06,3.75,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260119]
2026-01-07,17.47,CAD,Shopping,AMAZON.CA AMAZON.CA [RBC3306/20260119]
2026-01-08,5.71,CAD,Other,CANADA POST OTTAWA ON [RBC3306/20260119]
2026-01-08,62.76,CAD,Grocery,LOBLAWS 1234 OTTAWA ON [RBC3306/20260119]
2026-01-10,45.20,CAD,Subscription,KOODO MOBILE [RBC3306/20260119]
2026-01-10,13.76,CAD,Dining,THAI EXPRESS OTTAWA ON [RBC3306/20260119]
2026-01-12,18.99,CAD,Subscription,NETFLIX.COM NETFLIX.COM [RBC3306/20260119]
2026-01-14,52.74,CAD,Shopping,AMZN MKTP CA [RBC3306/20260119]
2026-01-15,24.62,CAD,Entertainment,CINEPLEX 7620 OTTAWA ON [RBC3306/20260119]
2026-01-15,11.63,CAD,Grocery,FARM BOY #17 OTTAWA ON (debit) [RBC7740/20260125]
2026-01-16,3.99,CAD,Subscription,APPLE.COM/BILL TORONTO ON [RBC3306/20260119]
2026-01-16,4.64,CAD,Dining,TIM HORTONS #2231 OTTAWA ON [RBC3306/20260119]
2026-01-19,11.03,CAD,Grocery,FARM BOY #17 OTTAWA ON (debit) [RBC7740/20260125]
2026-01-19,41.41,CAD,Grocery,METRO 456 OTTAWA ON [RBC3306/20260119]
2026-01-19,17.98,CAD,Transport,UBER CANADA/UBERTRIP TORONTO ON [RBC3306/20260119]
